session_id,age,trial_num,condition,category,newSet
CDM_photodraw_e11532111112405,7,7,S,cup,3
CDM_photodraw_e11532113637303,4,3,W,train,3
CDM_photodraw_e11532113637303,4,4,W,cup,3
CDM_photodraw_e11532113637303,4,6,W,shoe,3
CDM_photodraw_e11532113637303,4,7,W,rabbit,3
CDM_photodraw_e11532114278628,5,3,P,cup,3
CDM_photodraw_e11532114278628,5,6,P,rabbit,3
CDM_photodraw_e11532114278628,5,7,P,cat,3
CDM_photodraw_e11532119809715,7,6,W,rabbit,3
CDM_photodraw_e11532119809715,7,7,W,shoe,3
CDM_photodraw_e11532122541242,5,3,P,cat,3
CDM_photodraw_e11532122541242,5,7,P,train,3
CDM_photodraw_e11532460938594,6,3,S,train,3
CDM_photodraw_e11532460938594,6,7,S,cat,3
CDM_photodraw_e11532463640792,6,5,S,rabbit,3
CDM_photodraw_e11532463640792,6,7,S,cat,3
CDM_photodraw_e11532466284265,5,4,P,shoe,3
CDM_photodraw_e11532466284265,5,7,P,cup,3
CDM_photodraw_e11532467421953,4,6,S,train,3
CDM_photodraw_e11532468221484,7,4,W,train,3
CDM_photodraw_e11532468221484,7,7,W,cat,3
CDM_photodraw_e11532471274122,4,3,S,rabbit,3
CDM_photodraw_e11532471274122,4,6,S,train,3
CDM_photodraw_e11532472926384,4,7,W,rabbit,3
CDM_photodraw_e11532541142092,5,7,P,rabbit,3
CDM_photodraw_e11532542255729,6,3,P,rabbit,3
CDM_photodraw_e11532542255729,6,4,P,cup,3
CDM_photodraw_e11532542255729,6,6,P,cat,3
CDM_photodraw_e11532543756370,6,4,S,shoe,3
CDM_photodraw_e11532544321666,4,4,W,train,3
CDM_photodraw_e11532545713435,6,4,P,rabbit,3
CDM_photodraw_e11532545713435,6,5,P,cat,3
CDM_photodraw_e11532545713435,6,6,P,train,3
CDM_photodraw_e11532547528521,4,4,P,shoe,3
CDM_photodraw_e11532547528521,4,7,P,rabbit,3
CDM_photodraw_e11532552096322,4,4,S,train,3
CDM_photodraw_e11532552096322,4,6,S,cup,3
CDM_photodraw_e11532552431212,6,5,W,rabbit,3
CDM_photodraw_e11532553232054,6,3,P,cat,3
CDM_photodraw_e11532555995167,5,4,S,train,3
CDM_photodraw_e11532556623648,5,4,P,train,3
CDM_photodraw_e11532556623648,5,6,P,rabbit,3
CDM_photodraw_e11532557358704,7,7,S,cat,3
CDM_photodraw_e11532557578120,7,4,W,train,3
CDM_photodraw_e11532557578120,7,5,W,cup,3
CDM_photodraw_e11532557578120,7,7,W,shoe,3
CDM_photodraw_e11532558017061,6,5,P,cup,3
CDM_photodraw_e11532559138714,5,3,P,train,3
CDM_photodraw_e11533072218503,5,3,W,train,3
CDM_photodraw_e11533072218503,5,5,W,rabbit,3
CDM_photodraw_e11533073144281,5,7,W,shoe,3
CDM_photodraw_e11533077186611,5,3,P,rabbit,3
CDM_photodraw_e11533077186611,5,5,P,shoe,3
CDM_photodraw_e11533077186611,5,7,P,cat,3
CDM_photodraw_e11533077471951,5,3,W,train,3
CDM_photodraw_e11533079562976,5,4,S,train,3
CDM_photodraw_e11533079562976,5,5,S,cat,3
CDM_photodraw_e11533079944053,6,4,W,rabbit,3
CDM_photodraw_e11533079944053,6,6,W,train,3
CDM_photodraw_e11533080485289,4,3,S,train,3
CDM_photodraw_e11533145279933,5,5,W,cup,3
CDM_photodraw_e11533145279933,5,6,W,shoe,3
CDM_photodraw_e11533145279933,5,7,W,train,3
CDM_photodraw_e11533145985106,4,5,P,shoe,3
CDM_photodraw_e11533146317748,7,4,P,rabbit,3
CDM_photodraw_e11533146317748,7,6,P,train,3
CDM_photodraw_e11533147693749,5,4,S,train,3
CDM_photodraw_e11533147693749,5,5,S,cup,3
CDM_photodraw_e11533147693749,5,6,S,shoe,3
CDM_photodraw_e11533147693749,5,7,S,rabbit,3
CDM_photodraw_e11533147991237,6,4,W,rabbit,3
CDM_photodraw_e11533147991237,6,6,W,shoe,3
CDM_photodraw_e11533147991237,6,7,W,cup,3
CDM_photodraw_e11533148420272,7,7,P,cup,3
CDM_photodraw_e11533153765735,5,3,S,cup,3
CDM_photodraw_e11533153765735,5,4,S,cat,3
CDM_photodraw_e11533153765735,5,6,S,rabbit,3
CDM_photodraw_e11533154273996,5,4,W,shoe,3
CDM_photodraw_e11533156255593,6,3,W,shoe,3
CDM_photodraw_e11533156255593,6,7,W,cup,3
CDM_photodraw_e11533156546289,7,3,P,cup,3
CDM_photodraw_e11533156546289,7,5,P,shoe,3
CDM_photodraw_e11533156546289,7,7,P,rabbit,3
CDM_photodraw_e11533157120454,5,4,P,rabbit,3
CDM_photodraw_e11533158163200,5,3,S,cat,3
CDM_photodraw_e11533158163200,5,4,S,shoe,3
CDM_photodraw_e11533159385631,6,5,S,cat,3
CDM_photodraw_e11533159607984,5,3,W,cat,3
CDM_photodraw_e11533159607984,5,5,W,shoe,3
CDM_photodraw_e11533159607984,5,7,W,cup,3
CDM_photodraw_e11533160231802,5,6,S,train,3
CDM_photodraw_e11533160231802,5,7,S,rabbit,3
CDM_photodraw_e11533161870392,5,3,S,cup,3
CDM_photodraw_e11533161870392,5,6,S,train,3
CDM_photodraw_e11533162144527,5,4,W,shoe,3
CDM_photodraw_e11533162144527,5,6,W,train,3
CDM_photodraw_e11533164692587,4,5,P,cup,3
CDM_photodraw_e11533164692587,4,6,P,shoe,3