,carrot,chair,ice cream,banana,car,flower,frog,rabbit,train,boat,couch,cup,foot,phone,shoe
carrot,1.00E+00,3.38E-01,2.51E-01,-8.72E-02,-4.66E-01,-3.09E-01,-3.86E-01,-3.41E-01,-1.95E-01,6.48E-02,8.28E-02,7.85E-03,-3.17E-01,6.82E-02,1.86E-02
chair,3.38E-01,1.00E+00,1.47E-01,-3.34E-01,-1.74E-01,-3.84E-01,-5.03E-01,-4.36E-01,1.35E-01,-3.66E-02,3.34E-01,-1.52E-01,-3.08E-01,3.49E-02,3.65E-02
ice cream,2.51E-01,1.47E-01,1.00E+00,-7.14E-02,-1.82E-01,-1.05E-01,-3.64E-01,-1.27E-01,-1.80E-01,-1.59E-02,1.16E-01,-6.67E-02,-3.02E-01,-1.03E-01,-1.75E-01
banana,-8.72E-02,-3.34E-01,-7.14E-02,1.00E+00,-2.12E-01,1.49E-01,5.42E-02,1.29E-01,-2.52E-01,5.73E-02,-2.29E-01,-3.64E-02,4.98E-01,-2.50E-01,-1.46E-01
car,-4.66E-01,-1.74E-01,-1.82E-01,-2.12E-01,1.00E+00,1.23E-01,1.89E-01,2.03E-01,3.71E-01,-1.13E-01,9.21E-02,-2.45E-01,-3.49E-02,-2.21E-01,-8.57E-02
flower,-3.09E-01,-3.84E-01,-1.05E-01,1.49E-01,1.23E-01,1.00E+00,4.98E-01,4.82E-01,-1.80E-01,-4.23E-01,-4.35E-01,-2.39E-01,2.42E-02,-2.25E-01,-2.60E-01
frog,-3.86E-01,-5.03E-01,-3.64E-01,5.42E-02,1.89E-01,4.98E-01,1.00E+00,3.89E-01,-8.28E-02,-2.78E-01,-4.75E-01,-3.95E-02,1.14E-01,-4.38E-02,-7.51E-02
rabbit,-3.41E-01,-4.36E-01,-1.27E-01,1.29E-01,2.03E-01,4.82E-01,3.89E-01,1.00E+00,-2.07E-01,-2.11E-01,-3.74E-01,-1.96E-01,1.16E-01,-1.41E-01,-3.03E-01
train,-1.95E-01,1.35E-01,-1.80E-01,-2.52E-01,3.71E-01,-1.80E-01,-8.28E-02,-2.07E-01,1.00E+00,-5.20E-02,2.09E-01,-1.17E-01,-1.02E-01,-1.98E-01,-2.27E-03
boat,6.48E-02,-3.66E-02,-1.59E-02,5.73E-02,-1.13E-01,-4.23E-01,-2.78E-01,-2.11E-01,-5.20E-02,1.00E+00,1.21E-01,2.31E-02,8.35E-02,-2.31E-02,9.27E-02
couch,8.28E-02,3.34E-01,1.16E-01,-2.29E-01,9.21E-02,-4.35E-01,-4.75E-01,-3.74E-01,2.09E-01,1.21E-01,1.00E+00,-4.78E-03,-9.95E-02,-1.24E-01,4.25E-02
cup,7.85E-03,-1.52E-01,-6.67E-02,-3.64E-02,-2.45E-01,-2.39E-01,-3.95E-02,-1.96E-01,-1.17E-01,2.31E-02,-4.78E-03,1.00E+00,1.57E-02,2.63E-02,2.22E-01
foot,-3.17E-01,-3.08E-01,-3.02E-01,4.98E-01,-3.49E-02,2.42E-02,1.14E-01,1.16E-01,-1.02E-01,8.35E-02,-9.95E-02,1.57E-02,1.00E+00,-2.13E-01,2.64E-02
phone,6.82E-02,3.49E-02,-1.03E-01,-2.50E-01,-2.21E-01,-2.25E-01,-4.38E-02,-1.41E-01,-1.98E-01,-2.31E-02,-1.24E-01,2.63E-02,-2.13E-01,1.00E+00,-3.25E-02
shoe,1.86E-02,3.65E-02,-1.75E-01,-1.46E-01,-8.57E-02,-2.60E-01,-7.51E-02,-3.03E-01,-2.27E-03,9.27E-02,4.25E-02,2.22E-01,2.64E-02,-3.25E-02,1.00E+00